,PLAYER,POS_CFB,YEAR_RECRUITED,RNK_RECRUITED,STAR,247_SCORE,COLLEGE_CFB,HOME_CITY,HOME_STATE,LAT,LNG,YEAR_DRAFTED,DRAFT_RND,DRAFT_PICK,NFL_TEAM,POS_NFL,COLLEGE_NFL
834,Johnny Manziel,DUAL,2011,374,3,0.874,Texas A&M,Kerrville,TX,30.0474332,-99.1403189,2014,1,22,CLE,QB,Texas A&M
835,James Bradberry,ATH,2011,2350,2,0.7333,Arkansas State,Pleasant Grove,AL,33.4909405,-86.9702714,2016,2,62,CAR,CB,Samford
836,Kapron Lewis-Moore,SDE,2008,328,4,0.8906,Notre Dame,Weatherford,TX,32.7589648,-97.7970748,2013,6,200,BAL,DE,Notre Dame
837,Tom Savage,PRO,2009,101,4,0.9532,Rutgers,Springfield,PA,39.9306677,-75.3201879,2014,4,135,HOU,QB,Pittsburgh
838,Zach Hocker,K,2010,1995,2,0.7931,Arkansas,Russellville,AR,35.2784173,-93.1337856,2014,7,228,WAS,K,Arkansas
839,Michael Cox,RB,2008,379,3,0.8822,Michigan,Avon,CT,41.8098209,-72.8306541,2013,7,253,NYG,RB,Massachusetts
840,Khaseem Greene,ATH,2008,1806,2,0.7556,Rutgers,Avon,CT,41.8098209,-72.8306541,2013,4,117,CHI,LB,Rutgers
841,Tanner Hawkinson,TE,2008,381,3,0.8822,Kansas,Mcpherson,KS,38.3659015,-97.6575171,2013,5,156,CIN,T,Kansas
842,David Yankey,OT,2010,518,3,0.8733,Stanford,Roswell,GA,34.02332,-84.360022,2014,5,145,MIN,OL,Stanford
843,D.C. Jefferson,PRO,2008,397,3,0.8795,Rutgers,Winter Haven,FL,28.0222435,-81.7328568,2013,7,219,ARI,TE,Rutgers
844,Bacarri Rambo,S,2008,399,3,0.8795,Georgia,Donalsonville,GA,31.0404625,-84.8790911,2013,6,191,WAS,DB,Georgia
845,Blake Bortles,PRO,2010,814,3,0.859,UCF,Oviedo,FL,28.6593925,-81.20469046,2014,1,3,JAX,QB,UCF
846,Jeff Driskel,DUAL,2011,17,5,0.9916,Florida,Oviedo,FL,28.6593925,-81.20469046,2016,6,207,SFO,QB,Louisiana Tech
847,Peter Konz,OC,2008,414,3,0.8781,Wisconsin,Neenah,WI,44.1858193,-88.462609,2012,2,55,ATL,C,Wisconsin
848,Kaleb Ramsey,SDE,2008,434,3,0.8769,Boston College,Uniontown,PA,39.900076,-79.7164326,2014,7,243,SFO,DE,Boston College
849,Jonathan Martin,OT,2008,459,3,0.8764,Stanford,Studio City,CA,34.1483989,-118.3961877,2012,2,42,MIA,T,Stanford
